dataset,index,method,metric,value,cell,cluster
100_6,5,dice,tree_acc,0.1237113402061855,100,6
100_6,5,scistree2,tree_acc,0.2061855670103092,100,6
100_6,5,cellphy,tree_acc,0.1855670103092783,100,6
100_6,5,scistreec,tree_acc,0.2577319587628865,100,6
100_6,6,copy_nj,tree_acc,0.0927835051546391,100,6
100_6,6,dice,tree_acc,0.0824742268041237,100,6
100_6,6,scistree2,tree_acc,0.2474226804123711,100,6
100_6,6,cellphy,tree_acc,0.268041237113402,100,6
100_6,6,scistreec,tree_acc,0.268041237113402,100,6
100_6,7,copy_nj,tree_acc,0.1030927835051546,100,6
100_6,7,dice,tree_acc,0.1030927835051546,100,6
100_6,7,scistree2,tree_acc,0.3092783505154639,100,6
100_6,7,cellphy,tree_acc,0.2989690721649484,100,6
100_6,7,scistreec,tree_acc,0.3195876288659793,100,6
100_6,8,copy_nj,tree_acc,0.0927835051546391,100,6
100_6,8,dice,tree_acc,0.0824742268041237,100,6
100_6,8,scistree2,tree_acc,0.3402061855670103,100,6
100_6,8,cellphy,tree_acc,0.3298969072164948,100,6
100_6,8,scistreec,tree_acc,0.3917525773195876,100,6
100_6,9,copy_nj,tree_acc,0.0927835051546391,100,6
100_6,9,dice,tree_acc,0.0927835051546391,100,6
100_6,9,scistree2,tree_acc,0.2886597938144329,100,6
100_6,9,cellphy,tree_acc,0.3195876288659793,100,6
100_6,9,scistreec,tree_acc,0.3608247422680412,100,6
150_6,0,copy_nj,tree_acc,0.0680272108843537,150,6
150_6,0,dice,tree_acc,0.0680272108843537,150,6
150_6,0,scistree2,tree_acc,0.272108843537415,150,6
150_6,0,cellphy,tree_acc,0.2312925170068027,150,6
150_6,0,scistreec,tree_acc,0.25170068027210885,150,6
150_6,1,copy_nj,tree_acc,0.0680272108843537,150,6
150_6,1,dice,tree_acc,0.0544217687074829,150,6
150_6,1,scistree2,tree_acc,0.1768707482993197,150,6
150_6,1,cellphy,tree_acc,0.1836734693877551,150,6
150_6,1,scistreec,tree_acc,0.21768707482993194,150,6
150_6,2,copy_nj,tree_acc,0.0748299319727891,150,6
150_6,2,dice,tree_acc,0.0816326530612244,150,6
150_6,2,scistree2,tree_acc,0.2857142857142857,150,6
150_6,2,cellphy,tree_acc,0.2244897959183673,150,6
150_6,2,scistreec,tree_acc,0.27210884353741494,150,6
150_6,3,copy_nj,tree_acc,0.0544217687074829,150,6
150_6,3,dice,tree_acc,0.0476190476190476,150,6
150_6,3,scistree2,tree_acc,0.2312925170068027,150,6
150_6,3,cellphy,tree_acc,0.2108843537414966,150,6
150_6,3,scistreec,tree_acc,0.2585034013605441,150,6
150_6,4,copy_nj,tree_acc,0.0544217687074829,150,6
150_6,4,dice,tree_acc,0.0544217687074829,150,6
150_6,4,scistree2,tree_acc,0.3061224489795918,150,6
150_6,4,cellphy,tree_acc,0.3129251700680272,150,6
150_6,4,scistreec,tree_acc,0.29931972789115646,150,6
150_6,5,copy_nj,tree_acc,0.0612244897959183,150,6
150_6,5,dice,tree_acc,0.0680272108843537,150,6
150_6,5,scistree2,tree_acc,0.1836734693877551,150,6
150_6,5,cellphy,tree_acc,0.1768707482993197,150,6
150_6,5,scistreec,tree_acc,0.22448979591836735,150,6
150_6,6,copy_nj,tree_acc,0.0612244897959183,150,6
150_6,6,dice,tree_acc,0.0476190476190476,150,6
150_6,6,scistree2,tree_acc,0.272108843537415,150,6
150_6,6,cellphy,tree_acc,0.238095238095238,150,6
150_6,6,scistreec,tree_acc,0.2585034013605441,150,6
150_6,7,copy_nj,tree_acc,0.0680272108843537,150,6
150_6,7,dice,tree_acc,0.0612244897959183,150,6
150_6,7,scistree2,tree_acc,0.2925170068027211,150,6
150_6,7,cellphy,tree_acc,0.2789115646258503,150,6
150_6,7,scistreec,tree_acc,0.31972789115646255,150,6
150_6,8,copy_nj,tree_acc,0.0612244897959183,150,6
150_6,8,dice,tree_acc,0.0612244897959183,150,6
150_6,8,scistree2,tree_acc,0.3401360544217687,150,6
150_6,8,cellphy,tree_acc,0.3061224489795918,150,6
150_6,8,scistreec,tree_acc,0.3333333333333333,150,6
150_6,9,copy_nj,tree_acc,0.0680272108843537,150,6
150_6,9,dice,tree_acc,0.0748299319727891,150,6
150_6,9,scistree2,tree_acc,0.2925170068027211,150,6
150_6,9,cellphy,tree_acc,0.2925170068027211,150,6
150_6,9,scistreec,tree_acc,0.31972789115646255,150,6
50_8,0,copy_nj,tree_acc,0.2978723404255319,50,8
50_8,0,dice,tree_acc,0.2978723404255319,50,8
50_8,0,scistree2,tree_acc,0.4042553191489361,50,8
50_8,0,cellphy,tree_acc,0.2978723404255319,50,8
50_8,0,scistreec,tree_acc,0.4042553191489361,50,8
50_8,1,copy_nj,tree_acc,0.2553191489361702,50,8
50_8,1,dice,tree_acc,0.2978723404255319,50,8
50_8,1,scistree2,tree_acc,0.3829787234042553,50,8
50_8,1,cellphy,tree_acc,0.3404255319148936,50,8
50_8,1,scistreec,tree_acc,0.5106382978723404,50,8
50_8,2,copy_nj,tree_acc,0.2978723404255319,50,8
50_8,2,dice,tree_acc,0.2765957446808511,50,8
50_8,2,scistree2,tree_acc,0.2978723404255319,50,8
50_8,2,cellphy,tree_acc,0.2978723404255319,50,8
50_8,2,scistreec,tree_acc,0.3617021276595745,50,8
50_8,3,copy_nj,tree_acc,0.3191489361702128,50,8
50_8,3,dice,tree_acc,0.3617021276595745,50,8
50_8,3,scistree2,tree_acc,0.4468085106382978,50,8
50_8,3,cellphy,tree_acc,0.3404255319148936,50,8
50_8,3,scistreec,tree_acc,0.425531914893617,50,8
50_8,4,copy_nj,tree_acc,0.3191489361702128,50,8
50_8,4,dice,tree_acc,0.2553191489361702,50,8
50_8,4,scistree2,tree_acc,0.2765957446808511,50,8
50_8,4,cellphy,tree_acc,0.1914893617021276,50,8
50_8,4,scistreec,tree_acc,0.3829787234042553,50,8
50_8,5,copy_nj,tree_acc,0.3404255319148936,50,8
50_8,5,dice,tree_acc,0.2553191489361702,50,8
50_8,5,scistree2,tree_acc,0.1914893617021276,50,8
50_8,5,cellphy,tree_acc,0.1914893617021276,50,8
50_8,5,scistreec,tree_acc,0.3829787234042553,50,8
50_8,6,copy_nj,tree_acc,0.2978723404255319,50,8
50_8,6,dice,tree_acc,0.3191489361702128,50,8
50_8,6,scistree2,tree_acc,0.1914893617021276,50,8
50_8,6,cellphy,tree_acc,0.1489361702127659,50,8
50_8,6,scistreec,tree_acc,0.3617021276595745,50,8
50_8,7,copy_nj,tree_acc,0.2978723404255319,50,8
50_8,7,dice,tree_acc,0.3404255319148936,50,8
50_8,7,scistree2,tree_acc,0.2340425531914893,50,8
50_8,7,cellphy,tree_acc,0.2553191489361702,50,8
50_8,7,scistreec,tree_acc,0.3191489361702128,50,8
50_8,8,copy_nj,tree_acc,0.2765957446808511,50,8
50_8,8,dice,tree_acc,0.2553191489361702,50,8
50_8,8,scistree2,tree_acc,0.4893617021276595,50,8
50_8,8,cellphy,tree_acc,0.4042553191489361,50,8
50_8,8,scistreec,tree_acc,0.425531914893617,50,8
50_8,9,copy_nj,tree_acc,0.2978723404255319,50,8
50_8,9,dice,tree_acc,0.2765957446808511,50,8
50_8,9,scistree2,tree_acc,0.3191489361702128,50,8
50_8,9,cellphy,tree_acc,0.3191489361702128,50,8
50_8,9,scistreec,tree_acc,0.4468085106382978,50,8
100_8,0,copy_nj,tree_acc,0.1546391752577319,100,8
