dataset,index,method,metric,value
200_200,0,scistreec,geno_acc,0.98395
200_200,1,copy_nj,tree_acc,0.39593908629441626
200_200,1,dice,tree_acc,0.38578680203045684
200_200,1,scistree2,tree_acc,0.04060913705583756
200_200,1,cellphy,tree_acc,0.030456852791878174
200_200,1,scistreec,tree_acc,0.14720812182741116
200_200,1,scistree2,geno_acc,0.9713
200_200,1,cellphy,geno_acc,0.936425
200_200,1,scistreec,geno_acc,0.9798
200_200,2,copy_nj,tree_acc,0.48223350253807107
200_200,2,dice,tree_acc,0.43147208121827413
200_200,2,scistree2,tree_acc,0.04060913705583756
200_200,2,cellphy,tree_acc,0.06598984771573604
200_200,2,scistreec,tree_acc,0.10152284263959391
200_200,2,scistree2,geno_acc,0.9683
200_200,2,cellphy,geno_acc,0.952425
200_200,2,scistreec,geno_acc,0.971925
200_200,3,copy_nj,tree_acc,0.49238578680203043
200_200,3,dice,tree_acc,0.5228426395939086
200_200,3,scistree2,tree_acc,0.030456852791878174
200_200,3,cellphy,tree_acc,0.07106598984771574
200_200,3,scistreec,tree_acc,0.14720812182741116
200_200,3,scistree2,geno_acc,0.9732
200_200,3,cellphy,geno_acc,0.9283
200_200,3,scistreec,geno_acc,0.98395
200_200,4,copy_nj,tree_acc,0.38071065989847713
200_200,4,dice,tree_acc,0.4263959390862944
200_200,4,scistree2,tree_acc,0.025380710659898477
200_200,4,cellphy,tree_acc,0.07106598984771574
200_200,4,scistreec,tree_acc,0.13705583756345177
200_200,4,scistree2,geno_acc,0.96965
200_200,4,cellphy,geno_acc,0.941725
200_200,4,scistreec,geno_acc,0.9813
200_200,5,copy_nj,tree_acc,0.4467005076142132
200_200,5,dice,tree_acc,0.49238578680203043
200_200,5,scistree2,tree_acc,0.025380710659898477
200_200,5,cellphy,tree_acc,0.025380710659898477
200_200,5,scistreec,tree_acc,0.09137055837563451
200_200,5,scistree2,geno_acc,0.969325
200_200,5,cellphy,geno_acc,0.95795
200_200,5,scistreec,geno_acc,0.9783
200_200,6,copy_nj,tree_acc,0.41116751269035534
200_200,6,dice,tree_acc,0.45685279187817257
200_200,6,scistree2,tree_acc,0.05583756345177665
200_200,6,cellphy,tree_acc,0.06091370558375635
200_200,6,scistreec,tree_acc,0.15736040609137056
200_200,6,scistree2,geno_acc,0.973375
200_200,6,cellphy,geno_acc,0.928125
200_200,6,scistreec,geno_acc,0.982125
200_200,7,copy_nj,tree_acc,0.4365482233502538
200_200,7,dice,tree_acc,0.47715736040609136
200_200,7,scistree2,tree_acc,0.025380710659898477
200_200,7,cellphy,tree_acc,0.030456852791878174
200_200,7,scistreec,tree_acc,0.20304568527918782
200_200,7,scistree2,geno_acc,0.96965
200_200,7,cellphy,geno_acc,0.940225
200_200,7,scistreec,geno_acc,0.978425
200_200,8,copy_nj,tree_acc,0.37055837563451777
200_200,8,dice,tree_acc,0.3299492385786802
200_200,8,scistree2,tree_acc,0.025380710659898477
200_200,8,cellphy,tree_acc,0.06091370558375635
200_200,8,scistreec,tree_acc,0.116751269035533
200_200,8,scistree2,geno_acc,0.9705
200_200,8,cellphy,geno_acc,0.93555
200_200,8,scistreec,geno_acc,0.9779
200_200,9,copy_nj,tree_acc,0.39593908629441626
200_200,9,dice,tree_acc,0.4416243654822335
200_200,9,scistree2,tree_acc,0.030456852791878174
200_200,9,cellphy,tree_acc,0.050761421319796954
200_200,9,scistreec,tree_acc,0.1218274111675127
200_200,9,scistree2,geno_acc,0.972875
200_200,9,cellphy,geno_acc,0.933875
200_200,9,scistreec,geno_acc,0.980525
