ncell,nsite,index,method,metric,value
50,500,3,cellphy,time,4.024108409881592
50,500,3,scistreec,time,9.488902807235718
100,50,0,copy_nj,time,0.38631391525268555
100,50,0,dice,time,0.29472827911376953
100,50,0,scistree2,time,0.08739423751831055
100,50,0,cellphy,time,7.526710271835327
100,50,0,scistreec,time,411.3160197734833
100,50,1,copy_nj,time,0.4040052890777588
100,50,1,dice,time,0.2936069965362549
100,50,1,scistree2,time,0.08090591430664062
100,50,1,cellphy,time,6.046548128128052
100,50,1,scistreec,time,599.3325607776642
100,50,2,copy_nj,time,0.38838863372802734
100,50,2,dice,time,0.3119795322418213
100,50,2,scistree2,time,0.0921635627746582
100,50,2,cellphy,time,7.5111024379730225
100,50,2,scistreec,time,653.2103741168976
100,50,3,copy_nj,time,0.39084529876708984
100,50,3,dice,time,0.3126349449157715
100,50,3,scistree2,time,0.08303046226501465
100,50,3,cellphy,time,6.563689470291138
100,50,3,scistreec,time,570.4485991001129
100,200,0,copy_nj,time,0.3930978775024414
100,200,0,dice,time,0.28859400749206543
100,200,0,scistree2,time,0.172194242477417
100,200,0,cellphy,time,6.98343300819397
100,200,0,scistreec,time,257.45676732063293
100,200,1,copy_nj,time,0.3953361511230469
100,200,1,dice,time,0.3007669448852539
100,200,1,scistree2,time,0.1764223575592041
100,200,1,cellphy,time,8.020578384399414
100,200,1,scistreec,time,216.9715449810028
100,200,2,copy_nj,time,0.38548851013183594
100,200,2,dice,time,0.30265092849731445
100,200,2,scistree2,time,0.15899920463562012
100,200,2,cellphy,time,8.126616716384888
100,200,2,scistreec,time,204.58314061164856
100,200,3,copy_nj,time,0.38602447509765625
100,200,3,dice,time,0.3010573387145996
100,200,3,scistree2,time,0.15919065475463867
100,200,3,cellphy,time,7.656287670135498
100,200,3,scistreec,time,216.00684022903442
100,500,0,copy_nj,time,0.3943614959716797
100,500,0,dice,time,0.3144712448120117
100,500,0,scistree2,time,0.4338855743408203
100,500,0,cellphy,time,7.65433931350708
100,500,0,scistreec,time,83.1021339893341
100,500,1,copy_nj,time,0.39342761039733887
100,500,1,dice,time,0.3454723358154297
100,500,1,scistree2,time,0.3399679660797119
100,500,1,cellphy,time,10.094878911972046
100,500,1,scistreec,time,113.74552416801453
100,500,2,copy_nj,time,0.39835453033447266
100,500,2,dice,time,0.3512706756591797
100,500,2,scistree2,time,0.4077334403991699
100,500,2,cellphy,time,7.936917781829834
100,500,2,scistreec,time,116.06417226791382
100,500,3,copy_nj,time,0.3911862373352051
100,500,3,dice,time,0.4027523994445801
100,500,3,scistree2,time,0.2906813621520996
100,500,3,cellphy,time,7.7489073276519775
100,500,3,scistreec,time,102.56899356842041
200,50,0,copy_nj,time,1.2692124843597412
200,50,0,dice,time,0.3618628978729248
200,50,0,scistree2,time,0.13297533988952637
200,50,0,cellphy,time,16.9364333152771
200,50,0,scistreec,time,1390.662066936493
200,50,1,copy_nj,time,1.2662127017974854
200,50,1,dice,time,0.36871910095214844
200,50,1,scistree2,time,0.1267549991607666
200,50,1,cellphy,time,16.492764949798584
200,50,1,scistreec,time,2437.5866045951843
200,50,2,copy_nj,time,1.2792236804962158
200,50,2,dice,time,0.40401601791381836
200,50,2,scistree2,time,0.13304591178894043
200,50,2,cellphy,time,20.765390396118164
200,50,2,scistreec,time,1559.9018137454987
200,50,3,copy_nj,time,1.2561838626861572
200,50,3,dice,time,0.36940932273864746
200,50,3,scistree2,time,0.14526963233947754
200,50,3,cellphy,time,17.348255395889282
200,50,3,scistreec,time,2408.6586005687714
200,200,0,copy_nj,time,1.2697689533233643
200,200,0,dice,time,0.38274550437927246
200,200,0,scistree2,time,0.29208922386169434
200,200,0,cellphy,time,13.693925857543945
200,200,0,scistreec,time,1576.1091573238373
200,200,1,copy_nj,time,1.2645444869995117
200,200,1,dice,time,0.3764796257019043
200,200,1,scistree2,time,0.3002045154571533
200,200,1,cellphy,time,13.005892276763916
200,200,1,scistreec,time,1083.1192355155945
200,200,2,copy_nj,time,1.2731413841247559
200,200,2,dice,time,0.3760101795196533
200,200,2,scistree2,time,0.33919405937194824
200,200,2,cellphy,time,14.17952299118042
200,200,2,scistreec,time,984.9230492115021
200,200,3,copy_nj,time,1.2549200057983398
200,200,3,dice,time,0.41376614570617676
200,200,3,scistree2,time,0.2482285499572754
200,200,3,cellphy,time,13.69773530960083
200,200,3,scistreec,time,1325.7798187732697
