dataset,index,method,metric,value
150_150,17,scistreec,tree_acc,0.35374149659863946
150_150,17,scistree2,geno_acc,0.9952444444444445
150_150,17,cellphy,geno_acc,0.9354666666666667
150_150,17,scistreec,geno_acc,0.9956
150_150,18,copy_nj,tree_acc,0.3197278911564626
150_150,18,dice,tree_acc,0.3401360544217687
150_150,18,scistree2,tree_acc,0.21768707482993196
150_150,18,cellphy,tree_acc,0.16326530612244897
150_150,18,scistreec,tree_acc,0.38095238095238093
150_150,18,scistree2,geno_acc,0.9953333333333333
150_150,18,cellphy,geno_acc,0.9087111111111111
150_150,18,scistreec,geno_acc,0.9956444444444444
150_150,19,copy_nj,tree_acc,0.3197278911564626
150_150,19,dice,tree_acc,0.3129251700680272
150_150,19,scistree2,tree_acc,0.19047619047619047
150_150,19,cellphy,tree_acc,0.17687074829931973
150_150,19,scistreec,tree_acc,0.43537414965986393
150_150,19,scistree2,geno_acc,0.9945777777777778
150_150,19,cellphy,geno_acc,0.9451555555555555
150_150,19,scistreec,geno_acc,0.9956444444444444
200_200,0,copy_nj,tree_acc,0.4720812182741117
200_200,0,dice,tree_acc,0.4720812182741117
200_200,0,scistree2,tree_acc,0.24873096446700507
200_200,0,cellphy,tree_acc,0.25888324873096447
200_200,0,scistreec,tree_acc,0.47715736040609136
200_200,0,scistree2,geno_acc,0.996475
200_200,0,cellphy,geno_acc,0.951825
200_200,0,scistreec,geno_acc,0.996925
200_200,1,copy_nj,tree_acc,0.4365482233502538
200_200,1,dice,tree_acc,0.4517766497461929
200_200,1,scistree2,tree_acc,0.26903553299492383
200_200,1,cellphy,tree_acc,0.2639593908629442
200_200,1,scistreec,tree_acc,0.48223350253807107
200_200,1,scistree2,geno_acc,0.996325
200_200,1,cellphy,geno_acc,0.9307
200_200,1,scistreec,geno_acc,0.997025
200_200,2,copy_nj,tree_acc,0.45685279187817257
200_200,2,dice,tree_acc,0.4720812182741117
200_200,2,scistree2,tree_acc,0.18781725888324874
200_200,2,cellphy,tree_acc,0.18274111675126903
200_200,2,scistreec,tree_acc,0.41116751269035534
200_200,2,scistree2,geno_acc,0.995725
200_200,2,cellphy,geno_acc,0.955725
200_200,2,scistreec,geno_acc,0.9962
200_200,3,copy_nj,tree_acc,0.4213197969543147
200_200,3,dice,tree_acc,0.47715736040609136
200_200,3,scistree2,tree_acc,0.2233502538071066
200_200,3,cellphy,tree_acc,0.20812182741116753
200_200,3,scistreec,tree_acc,0.5279187817258884
200_200,3,scistree2,geno_acc,0.996075
200_200,3,cellphy,geno_acc,0.956725
200_200,3,scistreec,geno_acc,0.9966
200_200,4,copy_nj,tree_acc,0.467005076142132
200_200,4,dice,tree_acc,0.5279187817258884
200_200,4,scistree2,tree_acc,0.13705583756345177
200_200,4,cellphy,tree_acc,0.1218274111675127
200_200,4,scistreec,tree_acc,0.4365482233502538
200_200,4,scistree2,geno_acc,0.9956
200_200,4,cellphy,geno_acc,0.90715
200_200,4,scistreec,geno_acc,0.99675
200_200,5,copy_nj,tree_acc,0.41116751269035534
200_200,5,dice,tree_acc,0.34517766497461927
200_200,5,scistree2,tree_acc,0.2639593908629442
200_200,5,cellphy,tree_acc,0.25888324873096447
200_200,5,scistreec,tree_acc,0.4213197969543147
200_200,5,scistree2,geno_acc,0.995225
200_200,5,cellphy,geno_acc,0.947375
200_200,5,scistreec,geno_acc,0.9963
200_200,6,copy_nj,tree_acc,0.41116751269035534
200_200,6,dice,tree_acc,0.4213197969543147
200_200,6,scistree2,tree_acc,0.25380710659898476
200_200,6,cellphy,tree_acc,0.29949238578680204
200_200,6,scistreec,tree_acc,0.5431472081218274
200_200,6,scistree2,geno_acc,0.99615
200_200,6,cellphy,geno_acc,0.94655
200_200,6,scistreec,geno_acc,0.99695
200_200,7,copy_nj,tree_acc,0.4467005076142132
200_200,7,dice,tree_acc,0.41116751269035534
200_200,7,scistree2,tree_acc,0.25380710659898476
200_200,7,cellphy,tree_acc,0.22842639593908629
200_200,7,scistreec,tree_acc,0.4873096446700508
200_200,7,scistree2,geno_acc,0.996525
200_200,7,cellphy,geno_acc,0.941875
200_200,7,scistreec,geno_acc,0.99735
200_200,8,copy_nj,tree_acc,0.5431472081218274
200_200,8,dice,tree_acc,0.5279187817258884
200_200,8,scistree2,tree_acc,0.233502538071066
200_200,8,cellphy,tree_acc,0.26903553299492383
200_200,8,scistreec,tree_acc,0.49746192893401014
200_200,8,scistree2,geno_acc,0.996325
200_200,8,cellphy,geno_acc,0.950175
200_200,8,scistreec,geno_acc,0.997175
200_200,9,copy_nj,tree_acc,0.4263959390862944
200_200,9,dice,tree_acc,0.4010152284263959
200_200,9,scistree2,tree_acc,0.2893401015228426
200_200,9,cellphy,tree_acc,0.25380710659898476
200_200,9,scistreec,tree_acc,0.5482233502538071
200_200,9,scistree2,geno_acc,0.996425
200_200,9,cellphy,geno_acc,0.945175
200_200,9,scistreec,geno_acc,0.99755
